"scenario","pair","variant","frame","frame_ms","hud_cpu_ms","hud_upload_calls","shadow_draws"
"night_toggle","2","before","510","12.215100","1.380400","0","0"
"night_toggle","2","before","570","5.447300","0.903700","0","0"
"night_toggle","3","before","30","5.476400","1.008900","0","0"
"night_toggle","3","before","90","4.726200","1.185700","0","0"
"night_toggle","3","before","150","7.641600","0.572000","0","0"
"night_toggle","3","before","210","7.480700","2.568100","0","0"
"night_toggle","3","before","270","4.742300","0.504100","0","0"
"night_toggle","3","before","330","4.748800","0.540300","0","0"
"night_toggle","3","before","390","7.571600","1.672100","0","0"
"night_toggle","3","before","450","5.473100","0.986200","0","0"
"night_toggle","3","before","510","6.003200","1.134200","0","0"
"night_toggle","3","before","570","4.889200","0.680300","0","0"
"night_toggle","3","after","30","4.231400","0.429600","20","0"
"night_toggle","3","after","90","3.868100","0.104200","0","0"
"night_toggle","3","after","150","8.642200","0.148800","0","0"
"night_toggle","3","after","210","4.566500","0.129200","0","0"
"night_toggle","3","after","270","6.425400","0.333400","0","0"
"night_toggle","3","after","330","1.827800","0.195900","0","0"
"night_toggle","3","after","390","3.646900","0.249600","0","0"
"night_toggle","3","after","450","2.914200","0.470100","0","0"
"night_toggle","3","after","510","3.188100","0.277000","0","0"
"night_toggle","3","after","570","2.298300","0.286800","0","0"
"night_toggle_f3","1","before","30","2.368400","0.844500","0","0"
"night_toggle_f3","1","before","90","2.854000","0.946100","0","0"
"night_toggle_f3","1","before","150","2.930900","1.109700","0","0"
"night_toggle_f3","1","before","210","2.680900","0.984700","0","0"
"night_toggle_f3","1","before","270","4.496400","1.787500","0","0"
"night_toggle_f3","1","before","330","4.675100","1.394200","0","0"
"night_toggle_f3","1","before","390","6.086500","1.949200","0","0"
"night_toggle_f3","1","before","450","4.894600","1.695400","0","0"
"night_toggle_f3","1","before","510","7.805000","0.952000","0","0"
"night_toggle_f3","1","before","570","6.894400","1.300500","0","0"
"night_toggle_f3","1","after","30","2.714700","0.886200","21","0"
"night_toggle_f3","1","after","90","2.498300","0.640700","21","0"
"night_toggle_f3","1","after","150","3.872300","1.245900","22","0"
"night_toggle_f3","1","after","210","2.537100","0.732700","21","0"
"night_toggle_f3","1","after","270","3.660100","0.986000","21","0"
"night_toggle_f3","1","after","330","3.126800","1.415200","21","0"
"night_toggle_f3","1","after","390","3.530500","1.534100","21","0"
"night_toggle_f3","1","after","450","3.745600","1.781100","21","0"
"night_toggle_f3","1","after","510","3.446600","1.089000","21","0"
"night_toggle_f3","1","after","570","3.437700","1.022700","21","0"
"night_toggle_f3","2","after","30","3.888800","1.681700","21","0"
"night_toggle_f3","2","after","90","3.746200","1.128200","21","0"
"night_toggle_f3","2","after","150","6.916700","2.850900","21","0"
"night_toggle_f3","2","after","210","6.363700","1.617900","21","0"
"night_toggle_f3","2","after","270","6.207600","1.243800","21","0"
"night_toggle_f3","2","after","330","10.887300","3.644700","21","0"
"night_toggle_f3","2","after","390","13.060600","4.864900","21","0"
"night_toggle_f3","2","after","450","8.113900","2.068800","21","0"
"night_toggle_f3","2","after","510","8.344500","0.891800","21","0"
"night_toggle_f3","2","after","570","7.084300","1.767500","21","0"
"night_toggle_f3","2","before","30","7.773800","3.650000","0","0"
"night_toggle_f3","2","before","90","2.794000","1.142900","0","0"
"night_toggle_f3","2","before","150","3.858800","1.035500","0","0"
"night_toggle_f3","2","before","210","7.957200","3.228600","0","0"
